# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
38 0 1 0 10000 0 false
38 0 2 0 10000 0 false
44 0 3 0 10000 0 false
44 0 4 0 10000 0 false
44 0 5 0 10000 0 false
52 0 6 0 10000 0 false
52 0 7 0 10000 0 false
52 0 8 0 10000 0 false
58 0 9 0 10000 0 false
58 0 10 0 10000 0 false
59 0 11 0 10000 0 false
67 0 12 0 10000 0 false
67 0 13 0 10000 0 false
68 0 14 0 10000 0 false
74 0 15 0 3 0 false
74 0 16 0 3 0 false
74 0 17 0 3 0 false
78 0 18 0 3 0 false
78 0 19 0 3 0 false
78 0 20 0 3 0 false
82 0 21 0 0 0 false
82 0 22 0 0 0 false
82 0 23 0 0 0 false
85 0 24 0 0 0 false
85 0 25 0 0 0 false
85 0 26 0 0 0 false
88 0 27 0 0 0 false
88 0 28 0 0 0 false
89 0 29 0 0 0 false
